id_match,team_name
match225,SD Huesca
match226,Athletic Club
match226,FC Barcelona
match227,CD Leganés
match227,Real Betis
match228,Sevilla FC
match228,SD Eibar
match229,Valencia CF
match229,Real Sociedad
match230,D. Alavés
match230,Levante UD
match231,SD Eibar
match231,Getafe CF
match232,FC Barcelona
match232,R. Valladolid CF
match233,RC Celta
match233,Levante UD
match234,Real Sociedad
match234,CD Leganés
match235,Rayo Vallecano
match235,Atlético de Madrid
match236,Real Betis
match236,D. Alavés
match237,Real Madrid
match237,Girona FC
match238,Valencia CF
match238,RCD Espanyol
match239,Villarreal CF
match239,Sevilla FC
match240,SD Huesca
match240,Athletic Club
match241,RCD Espanyol
match241,SD Huesca
match242,D. Alavés
match242,RC Celta
match243,Athletic Club
match243,SD Eibar
match244,Getafe CF
match244,Rayo Vallecano
match245,Sevilla FC
match245,FC Barcelona
match246,Atlético de Madrid
match246,Villarreal CF
match247,CD Leganés
match247,Valencia CF
match248,Levante UD
match248,Real Madrid
match249,R. Valladolid CF
match249,Real Betis
match250,Girona FC
match250,Real Sociedad
match251,Rayo Vallecano
match251,Girona FC
match252,RCD Espanyol
match252,R. Valladolid CF
match253,SD Huesca
match253,Sevilla FC
match254,Real Madrid
match254,FC Barcelona
match255,Villarreal CF
match255,D. Alavés
match256,Real Betis
match256,Getafe CF
match257,SD Eibar
match257,RC Celta
match258,Real Sociedad
match258,Atlético de Madrid
match259,Valencia CF
match259,Athletic Club
match260,CD Leganés
match260,Levante UD
match261,Athletic Club
match261,RCD Espanyol
match262,D. Alavés
match262,SD Eibar
match263,Atlético de Madrid
match263,CD Leganés
match264,FC Barcelona
match264,Rayo Vallecano
match265,Getafe CF
match265,SD Huesca
match266,RC Celta
match266,Real Betis
match267,Girona FC
match267,Valencia CF
match268,Levante UD
match268,Villarreal CF
match269,Sevilla FC
match269,Real Sociedad
match270,R. Valladolid CF
match270,Real Madrid
match271,Real Sociedad
match271,Levante UD
match272,Athletic Club
match272,Atlético de Madrid
match273,SD Huesca
match273,D. Alavés
match274,CD Leganés
match274,Girona FC
match275,Real Madrid
match275,RC Celta
match276,Real Betis
match276,FC Barcelona
match277,SD Eibar
match277,R. Valladolid CF
match278,RCD Espanyol
match278,Sevilla FC
match279,Valencia CF
match279,Getafe CF
match280,Villarreal CF
match280,Rayo Vallecano
match281,Girona FC
match281,Athletic Club
match282,D. Alavés
match282,Atlético de Madrid
match283,FC Barcelona
match283,RCD Espanyol
match284,RC Celta
match284,Villarreal CF
match285,Getafe CF
match285,CD Leganés
match286,Levante UD
match286,SD Eibar
match287,Real Madrid
match287,SD Huesca
match288,Sevilla FC
match288,Valencia CF
match289,R. Valladolid CF
match289,Real Sociedad
match290,Rayo Vallecano
match290,Real Betis
match291,Atlético de Madrid
match291,Girona FC
match292,RCD Espanyol
match292,Getafe CF
match293,Villarreal CF
match293,FC Barcelona
match294,Athletic Club
match294,Levante UD
match295,SD Eibar
match295,Rayo Vallecano
match296,SD Huesca
match296,RC Celta
match297,Valencia CF
match297,Real Madrid
match298,CD Leganés
match298,R. Valladolid CF
match299,Sevilla FC
match299,D. Alavés
match300,Real Sociedad
match300,Real Betis
match301,FC Barcelona
match301,Atlético de Madrid
match302,Girona FC
match302,RCD Espanyol
match303,Real Madrid
match303,SD Eibar
match304,Rayo Vallecano
match304,Valencia CF
match305,D. Alavés
match305,CD Leganés
match306,Real Betis
match306,Villarreal CF
match307,RC Celta
match307,Real Sociedad
match308,Getafe CF
match308,Athletic Club
match309,Levante UD
match309,SD Huesca
match310,R. Valladolid CF
match310,Sevilla FC
match311,Atlético de Madrid
match311,RC Celta
match312,RCD Espanyol
match312,D. Alavés
match313,SD Huesca
match313,FC Barcelona
match314,Sevilla FC
match314,Real Betis
match315,Athletic Club
match315,Rayo Vallecano
match316,Girona FC
match316,Villarreal CF
match317,Real Sociedad
match317,SD Eibar
match318,Valencia CF
match318,Levante UD
match319,R. Valladolid CF
match319,Getafe CF
match320,CD Leganés
match320,Real Madrid
match321,D. Alavés
match321,R. Valladolid CF
match322,FC Barcelona
match322,Real Sociedad
match323,RC Celta
match323,Girona FC
match324,SD Eibar
match324,Atlético de Madrid
match325,Rayo Vallecano
match325,SD Huesca
match326,Real Betis
match326,Valencia CF
match327,Getafe CF
match327,Sevilla FC
match328,Levante UD
match328,RCD Espanyol
match329,Real Madrid
match329,Athletic Club
match330,Villarreal CF
match330,CD Leganés
match331,D. Alavés
match331,FC Barcelona
match332,SD Huesca
match332,SD Eibar
match333,R. Valladolid CF
match333,Girona FC
match334,Atlético de Madrid
match334,Valencia CF
match335,RCD Espanyol
match335,RC Celta
