id_goal,goal_minute,penalty?,own_goal?,id_match,player_name
goal601,74,FALSE,FALSE,match235,Antoine Griezmann
goal602,15,FALSE,FALSE,match236,Giovani Lo Celso
goal603,28,FALSE,FALSE,match236,Guillermo Maripán
goal604,25,FALSE,FALSE,match237,Carlos Casemiro
goal605,65,TRUE,FALSE,match237,Cristhian Stuani
goal606,75,FALSE,FALSE,match237,Portu
goal607,20,FALSE,FALSE,match239,Álvaro González Soberón
goal608,46,FALSE,FALSE,match239,Karl Toko Ekambi
goal609,86,FALSE,FALSE,match239,Alfonso Pedraza
goal610,19,TRUE,FALSE,match240,Raúl García Escudero
goal611,20,FALSE,FALSE,match241,Esteban Granero
goal612,47,FALSE,FALSE,match241,Xabier Etxeita
goal613,1,FALSE,FALSE,match243,Raúl García Escudero
goal614,28,FALSE,FALSE,match244,Jaime Mata
goal615,68,FALSE,FALSE,match244,Jorge Molina Vidal
goal616,58,FALSE,FALSE,match244,Raúl de Tomás
goal617,22,FALSE,FALSE,match245,Jesús Navas
goal618,42,FALSE,FALSE,match245,Gabriel Mercado
goal619,26,FALSE,FALSE,match245,Lionel Messi
goal620,67,FALSE,FALSE,match245,Lionel Messi
goal621,85,FALSE,FALSE,match245,Lionel Messi
goal622,93,FALSE,FALSE,match245,Luis Suárez
goal623,31,FALSE,FALSE,match246,Álvaro Morata
goal624,88,FALSE,FALSE,match246,Saúl Ñíguez
goal625,89,FALSE,FALSE,match247,Martin Braithwaite
goal626,22,FALSE,FALSE,match247,Geoffrey Kondogbia
goal627,60,FALSE,FALSE,match248,Roger Martí
goal628,43,TRUE,FALSE,match248,Karim Benzema
goal629,78,TRUE,FALSE,match248,Gareth Bale
goal630,48,FALSE,FALSE,match249,Aissa Mandi
goal631,87,FALSE,FALSE,match249,Joaquín Sánchez
goal632,30,FALSE,FALSE,match251,Cristhian Stuani
goal633,85,FALSE,FALSE,match251,Cristhian Stuani
goal634,1,FALSE,FALSE,match252,Borja Iglesias
goal635,55,FALSE,FALSE,match252,Mario Hermoso
goal636,65,FALSE,FALSE,match252,Wu Lei
goal637,17,FALSE,FALSE,match252,Rubén Alcaraz
goal638,7,FALSE,FALSE,match253,Juanpi
goal639,98,FALSE,FALSE,match253,Ezequiel Chimy Ávila
goal640,84,TRUE,FALSE,match253,Wissam Ben Yedder
goal641,26,FALSE,FALSE,match254,Ivan Rakitic
goal642,61,TRUE,FALSE,match255,Santi Cazorla
goal643,54,FALSE,FALSE,match255,Guillermo Maripán
goal644,77,FALSE,FALSE,match255,Takashi Inui
goal645,75,FALSE,FALSE,match256,Joaquín Sánchez
goal646,20,FALSE,FALSE,match256,Leandro Cabrera
goal647,44,FALSE,FALSE,match256,Jaime Mata
goal648,87,FALSE,FALSE,match257,Sergi Enrich
goal649,30,FALSE,FALSE,match258,Álvaro Morata
goal650,33,FALSE,FALSE,match258,Álvaro Morata
goal651,49,FALSE,FALSE,match259,Rodrigo Moreno Machado
goal652,89,FALSE,FALSE,match259,Kevin Gameiro
goal653,13,FALSE,FALSE,match260,Óscar Rodríguez Arnaiz
goal654,80,FALSE,FALSE,match261,Raúl García Escudero
goal655,9,FALSE,FALSE,match261,Facundo Ferreyra
goal656,58,FALSE,FALSE,match262,Takashi Inui
goal657,71,FALSE,FALSE,match262,Marc Cardona
goal658,80,FALSE,FALSE,match266,Jesé Rodríguez
goal659,50,FALSE,FALSE,match263,Saúl Ñíguez
goal660,38,FALSE,FALSE,match264,Gerard Piqué
goal661,51,TRUE,FALSE,match264,Lionel Messi
goal662,82,FALSE,FALSE,match264,Luis Suárez
goal663,24,FALSE,FALSE,match264,Raúl de Tomás
goal664,50,FALSE,FALSE,match265,Jaime Mata
goal665,77,TRUE,FALSE,match265,Jaime Mata
goal666,35,FALSE,FALSE,match265,Enric Gallego
goal667,80,FALSE,FALSE,match266,Jesé Rodríguez
goal668,22,FALSE,FALSE,match267,Jonás Ramalho
goal669,83,TRUE,FALSE,match267,Cristhian Stuani
goal670,14,FALSE,FALSE,match267,Gonçalo Guedes
goal671,53,FALSE,FALSE,match267,Daniel Parejo
goal672,90,FALSE,FALSE,match267,Ferrán Torres
goal673,93,FALSE,TRUE,match268,Róber Pier
goal674,96,FALSE,FALSE,match268,Samuel Chukwueze
goal675,25,FALSE,FALSE,match269,Pablo Sarabia
goal676,48,FALSE,FALSE,match269,Wissam Ben Yedder
goal677,58,FALSE,FALSE,match269,Wissam Ben Yedder
goal678,61,FALSE,FALSE,match269,Wissam Ben Yedder
goal679,69,FALSE,TRUE,match269,Mikel Oyarzabal
goal680,28,FALSE,FALSE,match269,Mikel Oyarzabal
goal681,77,TRUE,FALSE,match269,Mikel Oyarzabal
